순번,민원제목,민원내용,민원등록일,민원수정일,민원답변일,처리부서,진행상태,구
11,참고해주세요,"익산시 호암마트 앞 인도가 측량이 된것으로 압니다.그후에 호암마트에서 아예 인도에다가 물건을 내놓고 판매를 하더라구요그리고 호암마트 앞 인도에 주차들은 주차대로 다 되어있고,본래 인도라는 것은 사람들이 지나다니는 길인데.그앞에 판매를 하고 돌덩이를 막아놓고 주차가 되어있어시민은 도대체 어떻게 통행을 해야하는지 의문입니다.아예 인도가 존재하지 않는다고 보게됩니다.본인들 개인 이익을 위하여 인도를 없에는 것이나 마찬가지인데,그럼 저희 아이들은 차도로 통행을 하여야하는지,그 부분을 정확히 짚어주시고 익산시민을 위하는 길이 어떤부분인지조치를 취하여 주시기 바랍니다.그리고 측량을 하셨다면 측량결과를 보고확인할수 있도록 답변에 달아주시기 바랍니다.",2017-06-29,2017-06-29,2017-07-11,관리자,처리완료,진서면
12,전라북도의 생활정보(행정정보)?,"전북 부안군 동진면 당상리 산19, 산19-1, 산20, 32-17, 산17 의 경계가 인터넷 지적도에 의하면 서로 중첩 및 분이 되어 그 경계를 정확히 알 수 없으니 확인 후 조치 바랍니다.",2018-09-26,,,기획감사실,처리완료,부안읍
13,1.축사와 2축사옆 스레트 벤젤오염 토질검사?????,전라북도 부안군 상서면 감교리 845-133가로등 고장 몇일째 불이 안들어옴*  *(1/1) G: 2017/10/07 09:44:56G:*,2017-12-30,,2018-01-11,건설교통과,처리완료,주산면
14,모현동 익산경찰서 앞 불법주차 단속,안녕하세요?익산에 거주하는 주민으로서 통행 관련 위험한 횡단보도 불편사항 시정을 지난번에도요구했지만 막연하게 지나치는것 같아 매우 위험해서 재차 요구합니다(구)경찰서에서 북부시장쪽의 대도로변 옆에 있는 (구경찰서 옆) 범생종합약국과 맞은편 백세요양원 사이에 횡단 보도가 있지만 신호등이 없어 많은 차량들이 꼬리물기로 매번 과속 질주 하고 있어 횡단보도 통행에 매우 불편하고 위험하여 건너기가 불안합니다젊은층 뿐만 아니라 노약자 등 횡단 보도 통행에 어려움이 많습니다시청 담당부서에서는 시급히 신호등 설치로 안전하고 편리한 횡단보도 통행이 될 수 있도록 빠른 신호등 설치를 바라며 빠른 답변을 기다립니다.,2018-06-08,2018-06-11,2018-06-14,교통행정과,처리완료,부안읍
15,동산동 불법현수막을 신고합니다.,마동 서동로 콜핑(구. 살레와 익산점) ~  마동 오거리 근처새천년 약국 앞까지 1년 넘게 불법으로 설치 되어 있는불법 에어라이트를 신고합니다.,2016-07-14,2016-07-14,2016-07-22,도로관리과,처리완료,부안읍
16,은파호수공원에 바랍니다,오식도동에서 일하는 회사원입니다.산업단지관리공단에서 부터 우리은행 사거리까지의 근린공원에 식재된 수목이지지목과 철사줄에 목이 죄어있어 잠시 쉬러 갔다가 보는 사람의 목이 답답해집니다.나무가 커지면  지지목을 제거하거나 철사줄을 큰것으로 바꾸어 주어야 되는데 그렇지 않았어요.세금으로 심은 나무일텐데 기왕이면 잘 보살피어 살려야지 않겠습니까?군산시에서  조성한  다른 근린공원의 나무들은 평안한지 잘 보살펴주시기 바랍니다.,2016-07-29,2016-07-29,,관광진흥과,처리중,부안읍
17,전국에서 2번째로 비싼 상하수도요금 내려주세요.,시정업무에 수고 많으십니다찜질방쪽에서 올라가는 등산로 입구 부터 정비해놓은 포장로가 기분좋게 하는 산책로의 모습으로 변신해 주셔서 감사드립니다. 나무를 잘라 쿠션역활까지 해주니 더욱 상쾌합니다... 지금은 많이 유실되고 부서져서 조금밖에 없지만...익산의 대표산인 미륵산 정상에 설치된 벤치가 세월의 무게를 이기지 못하고 낡고 훼손되어 쉼터가 흉물스러운 모습으로 자리하고 있군요. 코팅이 벗겨져 썩고 한곳은 나무목이 빠져서 제구실을 못하고 있는 실정입니다힘겹게 정상을 향하여 올라가서 잠깐의 휴식을 취하려고 하니 심란한 모습의 벤치가 마중을 하긴 하지만...어찌 앉고 싶은마음이 싹~ 사라지게 만듭니다미륵산을 방문하는 많은 등산객들의 안락한 휴식처가 되었으면 하는 바램으로  올려드립니다참고하시어 개선조치 바랍니다감사합니다,2018-08-23,2018-08-23,2018-08-29,하수도과,처리완료,부안읍
18,동백대교,군산시 칠성1길4 이도로 2년전부터 저녁에 두번 다니고 있습니다.대형차들이 주차를 하여 좌회전시 사고가 몇번 발생할번 했습니다.참다참다 올 4월중순에 시청 담당부서 직원과민원실 불편 사항을 말하였으나직원 하시는 말씀이 그도로는 흰색선이라 주차가능하다고 하시더군요 그래서 제가 그럼 밤샘주차단속 이라도해달라고 하였더니 공무원이 단속을 매일 할수가 없다고 하시더군요.시민의 세금으로 살아가는 직원이 시민이 생명에 위협을 받고있으니 도와 달라고 하느데 그리 말씀을 하실수가 있나요?제가 밤샘주차단속 할테니 월급 저에게 주세요.,2017-06-27,2017-06-27,2017-07-12,최병화,처리완료,부안읍
19,배구레슨받고 싶습니다!,"와글와글 시장가요제가 익산지역에서 개최되는 것에 대해 지적하고자 한다.지난 2일 매일시장과 중앙시장이 함께하는 시장가요제 먼저 행운권 티켓에 대한 의문 관계자 왈 행운권 티켓은상인회 소속 상인에게 티켓을 배부하였고,물건을 구입한 고객들만 티켓을 준다 하였다.하지만 그 티켓들은 어떤 이는 여러 장을 보유하고 있었고 정작 행사장에 참가한 시민들은 일부 한장 씩 배부했으며,어떤 이는 전혀 받지 못했다.또한 행사에 관계없는 사람까지 티켓 선심을 베풀고 있었다.이를 보면서 시장가요제가 자신들의 장사 속에 이용하고 있는 실태와 오히려 고객들은 그들에게 농락 당하고 있다는 큰 실망감이 도려왔다.또한 행사를 하면서 주차 공간인 주차장까지 폐쇄해 고객들을 불편하게 했고 장애인주차구역 또는 여성안심주차구역 까지 침범해 행사가   아니라 개판의 극치가 되어버린 것에 상실감은 더했다.시민들을 우롱하고 농락하는 시장가요제,상인들의 장사 속에 놀아 난 시장가요제 익산시는 시장활성화 명목이라 만 하지말고 고객들이 무엇을 원하고 있는지 머리를 짜라.  ",2016-09-01,2016-09-01,2016-09-05,체육진흥과,처리완료,부안읍
20,쓰레기무단투기,모현동 에코르 사거리 조이치과쪽이요 남중있는쪽이요 학원도 있고하는데 신호등이 안켜져있어요 위험해보여요 신호등좀 켜주세요 장식물처럼  있네요,2018-03-03,2018-03-03,2018-03-08,청소자원과,처리완료,하서면
21,도시계획의 도로,존경하는 시장님저도 10여년간 장애인콜택시를 이용하면서 피해를 당한 부분이 있어서 말씀을 드립니다지체장애인협회에서 위탁 받아서 하실 때 담당자로 부터 매우 불친절하고 비인권적인 대우를 받았습니다예약제로 운영을 했으나 급한 일이 생길 때면 즉콜을 요구할 수도 있는건데 우리 장애인들은 급한 일도 생기면 안되나 봅니다예약을 안했다고 어찌나 면박을 주는지 무서웠습니다또한 투석장애인 위주로 먼저 배차가 되었기 때문에 예약을 해도 안될때가 있어서투석환자분의 이용 현황이 알고 싶다고 했더니내가 그렇다면 그런줄 알지 왜 알려고 하느냐 면서 소리도 질렀습니다그 후로 저는 예약전화를 하려고 하면 심장이 두근거리는 불안증세가 나타나기 시작했고 장애인 콜택시는 저희의 이동 수단이지만 담당자는 매우  공포스런 존재였습니다그리고 제가 급하게 익산까지 갈일이 생겨서 전화를 했는데 차가 없다고만 하길래 너무 급하니 이번 한번만 좀 해 주시라고 울먹이면서까지 사정을 했습니다그러자 알아보고 전화를 주겠다고 하더니 잠시후 하시는 말씀이 오늘만 특별히 그리고 힘들게 차를 보내 줄테니 다음부턴 이렇게 요구하지 말라고 했습니다비참하고 서러웠지만 이를 악물고 감사하다고 인사를 했습니다차가 배차되어 왔을때 그당시 저를 태우러 오신 ㄱ 대리님께  대리님 저 너무 힘들게 차를 타게 됐는데 그렇게 차가 없었나요?라고 여쭈어 보니 의아하다는 듯이 아니오! 차 두대나  놀고 있었는데요!!라고 하셨습니다그순간 제가 느낀 감정은 그 분을 죽이고 싶었습니다어떻게 이럴수가 있을까요이런 피해는 비단 저만 당한것이 아닙니다지금도 그당시 생각만 하면 심장이 터질거 같고분노가 치밉니다그 사람 용서가 안됩니다아무리 지난일이라고 해도 저희들의 상처는 아물지 않았는데  급기야는 새로 위탁 받은 전 단체장도  저희에게 끔찍한 상처를 주었지요지속적인 민원을 제기했음에도 저희들의 목소리는 묵살되어 왔고10년동안 조례 개정 시도 조차 하지 않은 군산시의 전적인 책임입니다더이상은 참을 수 없습니다답변 해 주세요,2017-08-21,2017-08-21,2017-08-28,직소민원팀,처리완료,부안읍
22,군산시의 민원실,"안녕하세요?추운 날씨에 항상 감기 조심 하시기 바랍니다.현재 나운2동에 거주하고 있는 37살 남성입니다.다름이 아니라, 출산장려금 인상 부탁드립니다.현대중공업, 대우자동차 등 기업들의 경영난으로 인한 군산지역에서 철수가 되고,서민들이 느끼는 체감경기 또한 최악일껍니다.저출산 저출산 말들이 많은 상황에서, 주변 익산지역만 봐도 2017년도에 출산장력금이 대폭 인상되었습니다.사람이 있어야 도시가 살고, 도시가 살아야 경제가 살텐데... 가장 기본적인 인구정책부터 개선을 했으면 합니다.타 도시보다 더 인상을 요구하는 것도 아니고, 동일한 수준으로 조정했으면 합니다.내년 예산편성이 마무리가 되고있을텐데... 결정 났을수도 있고요, 필히 반영 부탁드립니다.군산 시민의 일원으로서 간곡히 부탁드립니다.",2018-01-08,2018-01-08,2018-01-09,토지정보과,처리완료,부안읍
23,2018년 노후 경유차 폐자 지원금,지난번 이용할때도 비슷한 경우였는데 참았습니다.남들이 생각할 때에는 별일아닌지도 모르겠습니다. 하지만 오늘겪은일은 기분이 나쁘네요. 어머니가01-기를안고 택시를 타야 했기에 아파트 단지내 후문쪽에 와달라부탁 하려 했습니다 말이길어지어 짜증 섞인 말투로 한군데만 말하라는 겁니다. 제말이 어려웠던 걸까요 그분이 상당일을 하기에 역량이 부족했던 걸까요 우선 많은전화가 오고 상대 하려면 힘들겠지요 저도 직업이 콜센터 상담원이라 압니다. 이 분은 교육이 필요 할듯 싶네요서동콜에 걸어봤자 미분과통화 하고 이분과 말하고 싶진않아 부득이하게 익산시에 도움을청합니다 이 회사에 권고를 해주세요 서비스업 답게 교육또한 철저히 시키라고~무서워서 콜 부르겠나요.,2017-12-05,2017-12-05,2017-12-08,녹색환경과,처리완료,부안읍
24,국유지 관련 문의,"오늘도 익산은 초미세먼지 무시무시하게 높습니다.현재 초미세 78입니다.익산보다 높은 곳은 첨부파일에도 있듯 충북 증평(초미세 83)뿐이네요.오늘도 유치원, 초중고 아이들은 마스크 한장에 의존해서 등교를 하거나 그나마 마스크도 없이 등교하는 아이들이 태반입니다.이런 익산시의 모습을 보고 있으면 답답하고 한숨이 절로 나옵니다. 이런 도시에서 누가 정착해서 살고 싶겠습니까?재선된 정헌율 시장님도 미세먼지 저감정책에 대해 큰 의지가 없는거 같아 안타깝습니다.티비토론회에서 전북도 가운데 익산시가 나쁨도 1위 / 좋음도 1위라는건 어떤 데이터를 토대로 나왔는지 답변 바랍니다. 그리고 매연 엄청 나오는 트럭, 경유차, 중장비 차량 등... 과태료 부과하세요!!과태료 부과하다가 없어졌다는 이야기를 들었습니다.익산시 행정은 지금 역행하는거 같아 안타깝습니다.다른 시도지역은 매연차량 신고하는 앱도 개발하고 저감정책에 적극적인 자세입니다. 또 청소자원과 불법소각 현장출동하는 2인1조 분들이 요즘 열일하신다는거 잘 알고 있습니다.  굉장히 감사하게 생각합니다!!!그런데 인구 30만 도시에서 불법소각 현장출동 인원이 2인1조 딱 그 분들 뿐이라는게 믿기지 않습니다.발빠르게 인원 충원이 필요하다고 생각합니다.읍면동 담당을 정해서 그 지역을 출동해야지...넓은 익산을 차량 1대로 어떻게 이동하고 출동해서 현장을 잡겠습니까???읍면에 있는 주택들가서 보세요.다들 큰 통에 쓰레기 다 채워놓고 활활 태웁니다.분리수거 이야기하면 하나같이 코웃음 칩니다.이게 현재 익산의 현실입니다.익산시에서 정책적으로 읍면에 사시는 분들도 분리수거 제대로 하고 - 수거되서 - 불법소각하지 않도록 시스템 구축 바랍니다.요즘 보리 엄청 태웁니다.태우기 전 읍면동사무소에 신고하고 태워야 되는데, 절차대로 하지 않으면 불법 아닌가요?항상 익산의 하늘은 회색입니다.공기 냄새는 매쾌합니다.익산의 현실을 생각하면 당장이라도 이사가고 싶은 마음입니다.이 와중에 인구정책 아이디어 공모제..... 해야겠지요.다만 산적한 문제들 먼저 해결하는게 먼저가 아닐까 싶습니다.보이지 않는곳에서 익산시를 위해서 노력하고, 고민하고, 고생하시는 공무원 분들도 많은거 잘 알고 있습니다.당장 익산의 가장 큰 문제는 - 초미세먼지 입니다.요즘 청정이 관광상품이 되고, 청정지역을 찾아 이사하는 젊은 사람들이 늘어나고 있습니다. 이런 현상들에 눈과 귀를 열고 정책 반영하길 바랍니다. ",2018-05-04,2018-05-04,2018-05-04,회계과,처리완료,줄포면
25,아니 세상에 폐석산에 불법 페기물 매립이 75만톤 이라니????,"ㅁ 무주 군민은 아니지만 무주를 사랑하는 국민으로 무주와 관련된 제안을 하고자 합니다....ㅁ 잘 아시다시피 무주에는 덕유산을 비롯한 진산들이 많이 있으며 또한 산림청에서 지정한 대한민국 100대명산중 덕유산, 적상산이 위치하고 있습니다...ㅁ 요즘산림청 지정 100대상 완등을 목표로 하고 전국을 순례하는 등반 애호가들이 많이 있으며 저 또한 80여개 등반을 완등하였고, 지난주에는 대한민국 100경중의 하나이고 가을이면 온 산이 빨간 치마를 입은 듯 하다고 하여 적상산 이라는 산행을 하였습니다... 그런데도아쉽게도 정상에는무선통신 기지국이 있다는 한계점도 있지만근사한 정상석은 아니지만 소담한 정상석을 기대했건만 복사용지로 코팅한 정상표지 그나마도 바람도 헤어져 너덜너덜한 정상표지를 보고 무척이나 실망을 하였습니다...------------------------------------------------------------------------------- 건의사항 입니다...- 적상산 정상에 멋진 정상석을 세워 주시면 국민들로 더욱더 사랑받는 적상산이 될듯 싶습니다... 정상에 있는 기지국 여건상 정상석이 어려우면 깔끔한 프라스틱으로 만든 정상표시를 해 주셨으면 합니다 - 지금의 복사용지 (너덜너덜 찢겨짐) 로 코팅한정상표지는 100대명산에 어울리지 못하고, 여타의 100대명산에도 이런 복사용지로 정상표지를 해 놓은 산도 없습니다... - 적상산의 정상석 건립이 어려우시면 공식적으로 향노봉 (1024m)을 정상으로 변경 지정해주시고 현재 프라스틱의 정상표시를 멋진 정상석을 설치해 주시는 것도 대안으로 제시합니다... 첨부로 1) 2) 적상산 정상 표지 (16년 11월 2일 / 코팅 복사용지로 표시된 정상표지) 3) 향노봉 표지판 수고하세요 ~~",2016-07-21,2016-07-21,2016-08-02,산림공원과,처리완료,고산면
26,익산장상인회당구동아리,"포트홀 좀 메우세요. 익산 시내 돌아다니다보면 한 두 군데가 아니에요, 꼭 시민이 신고를 해아지만 메울건가요? 같은 곳 벌써 10개월째 방치하는 거 보고 이건 뭐하는건가 해서 글 남깁니다.이번 달 안으로 포트홀 관리 안하시면 신문고에 민원넣겠습니다. 그렇게 한다면 제목은 포트홀 1년째 방치로 하죠.",2016-11-25,2016-11-25,2016-11-30,민생경제과,처리완료,부안읍
27,금마 미륵산 더테라스 건,다시 올립니다.관계부처에서는저희 마을의 당면한 문제를 해결하는데최선의 방법을 연구하시어 속히 더테라스 공사로 인한 정신적 물질적 또한 마을 주민 전체의 건강믄제임을 심각하게 생각하시고 빠른 대책을 주시기 바랍니다.,2018-03-13,2018-03-13,2018-03-16,주택과,처리완료,동진면
28,,안녕하세요 강진면 옥정호로 937-12번지에 살고 있는 김종구입니다.강진면 수방마을에 2017년도에 상수도가 설치되었는데 수방리 서쪽마을에는 현재 6가구가 살고있지만 상수도가 설치되지 않았습니다. 금년도에는 꼭 설치가되어 맑은물을 먹고싶습니다.그리고 수방마을에 설치된 상수도는 언제쯤 개통되나요?,NA,"전북 부안군 부안읍 당산로 91 (동중리, 부안군청) 안전총괄과?",,2017-03-01,,줄포면
