no,kios,district,name,location,address,rests,lat,lon
42,42,서구, 갈마1동 주민센터 앞,, 서구 갈마동 292-20,12,36.353422,127.367895
43,43,서구,둔산여고 앞,"둔산여고 정문 
맞은편", 서구 둔산동 1526,13,36.353331,127.374415
44,44,서구, 을지대학병원 앞,"을지대학병원 정문
버스정류장 앞", 서구 둔산동 1542,13,36.354493,127.382811
45,45,서구, 청솔아파트앞,"청솔아파트 정문 
버스정류장 앞", 서구 둔산동 2161,13,36.35137,127.398314
46,46,서구, 경성큰마을 앞,아웃백 앞 버스정류장/계룡로 사거리, 서구 갈마동 1438,13,36.344785,127.379289
47,47,서구, 오페라웨딩홀 앞,오페라웨딩홀 맞은 편/ BYC 버스정류장 앞, 서구 둔산동 1257,12,36.348388,127.383141
48,48,서구, 대전종합고용지원센터,탄방역 방향, 서구 탄방동 1453-1,12,36.346582,127.385707
49,49,서구, 한국농어촌공사 앞,"엘지전자 앞/
한가람아파트 사이", 서구 탄방동 735,12,36.347204,127.390034
50,50,서구, 한가람아파트 앞,"한가람아파트,한양아파트 6동 앞", 서구 탄방동 1447,12,36.348151,127.390487
51,51,서구, 남선공원종합체육관 앞,남선공원체육관 입구 버스정류장 앞, 서구 탄방동 1458,10,36.347986,127.398035
52,52,서구, 유승기업사 앞,유승기업사 버스정류장 앞, 서구 탄방동 521-2,12,36.343476,127.381142
53,53,서구, 탄방지하차도 앞,개나리아파트 쪽/메이져타운 버스정류장 앞, 서구 탄방동 1452,12,36.342719,127.384753
109,109,서구,서부농협본점 ,"롯데백화점 맞은편/금성백조,풍전삼계탕 앞 버스정류장", 서구 탄방동 1455,15,36.342378,127.387671
110,110,서구,용문4가,용문 신협/용문역3번 출구 버스정류장, 서구 용문동 594-10,9,36.337569,127.392091
111,111,서구,순복음 교회(수침교 앞),수침교 부근 대전 순복음 교회/구 서부경찰서 부근, 서구 용문동 249-11,13,36.335726,127.396603
112,112,서구,나르메아파트길건너,레미안@115동116동 맞은편 버스정류장/가톨릭 정형외과 앞, 서구 가장동 45-8,15,36.331931,127.385353
113,113,서구,가장교(성은사 앞),GS LPG 주유소 버스정류장, 서구 가장동 31-7,13,36.328502,127.388001
146,146,서구,호반 베르디움(101동 앞),,서구 가수원동 394,,36.312159,127.346916
147,147,서구,계룡 리슈빌 1704동,,서구 도안동 1370,,36.316467,127.345838
150,150,서구,우미린(106동 앞),,서구 가수원동 1363,,36.312425,127.349924
173,173,서구,무지개 아파트,,서구 월평동 298,,36.358187,127.376935
174,174,서구,가수원 우체국,,서구 가수원동 764-11,,36.304697,127.352967
175,175,서구,건양대 사거리,,서구 관저동 999,,36.303332,127.338936
176,176,서구,관저2 주민센터,,서구 관저동 1104,,36.29926,127.335194
177,177,서구,관저1 주민센터,,서구 관저동 999-3,,36.303845,127.337343
186,186,서구,한밭수목원-2,,서구 만년동 396,,36.367502,127.388022
188,188,서구,구봉초교 건너,,서구 관저동 1147,,36.298659,127.329703
197,197,서구,구 농도원4가,,서구 도마동 65-56,,36.320301,127.377546
198,198,서구,도마4가,,서구 도마동 172-13,,36.313931,127.379351
202,202,서구,도안초교,,서구 도안동 1364,,36.319752,127.346015
216,216,서구,건양대학교병원입구,,서구 관저동 1900,,36.306499,127.342583
217,217,서구,초록마을 아파트 3단지,,서구 복수동 613,,36.300506,127.378971
221,221,서구,갈마중입구(버스정류장),,서구 갈마동 338-1,,36.349302,127.368634
222,222,서구,갈마아파트 한마음동산,,서구 갈마동 392-6,,36.344121,127.368018
224,224,서구,정림삼거리,,서구 정림동 497,,36.307058,127.363826
