"구분",화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치년도,위도,경도,데이터기준일자
"공중화장실",세천주차장,대전광역시 동구 삼정동 3-11,,N,1,2,1,0,0,0,3,1,0,대전광역시 공원관리사업소,042-270-7882,연중무휴,2009-12,36.330751,127.480535,2017-01-01
"공중화장실",생태공원,대전광역시 동구 세천동 369,,N,1,1,1,0,0,0,3,1,0,대전광역시 공원관리사업소,042-270-7883,연중무휴,2013-05,36.330049,127.482423,2017-01-01
"공중화장실",식장산정상,대전광역시 동구 세천동 산43-3,,N,1,2,0,0,0,0,2,0,0,대전광역시 공원관리사업소,042-270-7884,연중무휴,2011-03,36.304297,127.484101,2017-01-01
"공중화장실",봉황마당,대전광역시 대덕구 읍내동 산1-9,,N,2,1,0,0,0,0,2,0,0,대전광역시 공원관리사업소,042-270-7885,연중무휴,2004-07,36.382002,127.437474,2017-01-01
"공중화장실",용화사 입구,대전광역시 대덕구 읍내동 산1-9,,N,3,0,0,0,0,0,4,0,0,대전광역시 공원관리사업소,042-270-7886,연중무휴,1997-08,36.382002,127.437474,2017-01-01
"공중화장실",장동사무실 옆,대전광역시 대덕구 장동 산63,,N,2,1,0,0,0,0,2,1,0,대전광역시 공원관리사업소,042-270-7887,연중무휴,1985-02,36.405691,127.442199,2017-01-01
"공중화장실",물놀이장,대전광역시 대덕구 장동 486,,N,1,1,0,0,0,0,1,1,0,대전광역시 공원관리사업소,042-270-7888,연중무휴,2009-08,36.405392,127.445632,2017-01-01
"공중화장실",다목적광장,대전광역시 대덕구 장동 산59,,N,1,2,0,0,0,0,3,0,0,대전광역시 공원관리사업소,042-270-7889,연중무휴,2014-03,36.401128,127.451235,2017-01-01
"공중화장실",공연장,대전광역시 대덕구 장동 산59,,N,1,1,0,0,0,0,2,0,0,대전광역시 공원관리사업소,042-270-7890,연중무휴,2011-01,36.401128,127.451235,2017-01-01
"공중화장실",산성입구,대전광역시 대덕구 장동 산82,,N,1,1,0,0,0,0,1,0,0,대전광역시 공원관리사업소,042-270-7892,연중무휴,2015-01,36.396316,127.449379,2017-01-01
"공중화장실",동원 A 화장실 (암석원),대전광역시 서구 둔산대로 169,대전광역시 서구 만년동 396 한밭수목원,N,3,5,1,0,0,0,5,1,1,대전광역시 한밭수목원,042-270-8452,하절기 06:00~20:00 / 동절기 08:00~19:00,2008-05,36.370368,127.391385,2017-01-01
"공중화장실",동원 B 화장실(약용식물원),대전광역시 서구 둔산대로 169,대전광역시 서구 만년동 397 한밭수목원,N,3,5,1,0,0,0,5,1,1,대전광역시 한밭수목원,042-270-8452,하절기 06:00~20:00 / 동절기 08:00~19:00,2008-09,36.367718,127.390276,2017-01-01
"공중화장실",서원 A 화장실(숲속교실),대전광역시 서구 둔산대로 169,대전광역시 서구 만년동 398 한밭수목원,N,3,5,1,0,0,0,5,0,1,대전광역시 한밭수목원,042-270-8452,하절기 06:00~20:00 / 동절기 08:00~19:00,2003-07,36.370195,127.385609,2017-01-01
"공중화장실",서원 B 화장실(작은문고),대전광역시 서구 둔산대로 169,대전광역시 서구 만년동 399 한밭수목원,N,3,5,1,0,0,0,5,0,1,대전광역시 한밭수목원,042-270-8452,하절기 06:00~20:00 / 동절기 08:00~19:00,2003-07,36.369919,127.383701,2017-01-01
"공중화장실",서원 C 화장실(공작교실),대전광역시 서구 둔산대로 169,대전광역시 서구 만년동 400 한밭수목원,N,3,5,1,0,0,0,5,0,1,대전광역시 한밭수목원,042-270-8452,하절기 06:00~20:00 / 동절기 08:00~19:00,2003-05,36.367718,127.384354,2017-01-01
"개방화장실",전시온실,대전광역시 서구 둔산대로 169,대전광역시 서구 만년동 401 한밭수목원,N,0,0,1,0,0,0,0,1,0,대전광역시 한밭수목원,042-270-8452,하절기 09:00~17:30 / 동절기 09:00~17:30,2011-03,36.366583,127.391454,2017-01-01
"개방화장실",연구관리동(직원),대전광역시 서구 둔산대로 169,대전광역시 서구 만년동 402 한밭수목원,N,1,1,0,0,0,0,2,0,0,대전광역시 한밭수목원,042-270-8452,하절기 09:00~17:30 / 동절기 09:00~17:30,2011-03,36.366936,127.391179,2017-01-01
"개방화장실",연구관리동(일반),대전광역시 서구 둔산대로 169,대전광역시 서구 만년동 403 한밭수목원,N,2,3,1,0,0,1,6,1,1,대전광역시 한밭수목원,042-270-8452,하절기 09:00~17:30 / 동절기 09:00~17:30,2011-04,36.366936,127.391179,2017-01-01
"공중화장실",광장 화장실,대전광역시 서구 둔산대로 169,대전광역시 서구 만년동 404 한밭수목원,N,3,5,1,0,0,1,6,1,1,대전광역시 한밭수목원,042-270-8452,24시간,2005-04,36.366482,127.388544,2017-01-01
"공중화장실",갑천 화장실,대전광역시 서구 둔산대로 169,대전광역시 서구 만년동 405 한밭수목원,N,4,5,1,0,0,0,9,1,1,대전광역시 한밭수목원,042-270-8452,24시간,2011-06,36.370486,127.389262,2017-01-01
"개방화장실",청사내 화장실,대전광역시 서구 둔산대로 169,대전광역시 서구 만년동 406 한밭수목원,N,3,4,0,0,0,0,3,0,0,대전광역시 한밭수목원,042-270-8452,24시간,2011-02,36.366458,127.387931,2017-01-01
"이동화장실",맹꽁이 서식지,대전광역시 대덕구 문평동 747,,N,1,1,0,0,0,0,2,0,0,하천관리사업소,042-270-8431,24시간,2011-08,36.452378,127.402184,2017-01-01
"이동화장실",신구교 야구장,대전광역시 대덕구 문평동 555,,N,2,2,0,0,0,0,4,0,0,하천관리사업소,042-270-8431,24시간,2011-01,36.444941,127.391877,2017-01-01
"이동화장실",신구교 야구장,대전광역시 대덕구 문평동 705,,N,1,1,0,0,0,0,2,0,0,하천관리사업소,042-270-8431,24시간,2011-07,36.443621,127.391097,2017-01-01
"이동화장실",신구교 야구장,대전광역시 대덕구 문평동 570,,N,1,1,0,0,0,0,2,0,0,하천관리사업소,042-270-8431,24시간,2011-07,36.441139,127.391403,2017-01-01
"이동화장실",신구교 야구장,대전광역시 대덕구 문평동 631,,N,1,1,0,0,0,0,1,0,0,하천관리사업소,042-270-8431,24시간,2001-06,36.439106,127.393424,2017-01-01
"이동화장실",용신교 축구장,대전광역시 대덕구 신일동 540-9,,N,1,1,0,0,0,0,2,0,0,하천관리사업소,042-270-8431,24시간,2011-07,36.435951,127.398402,2017-01-01
"이동화장실",용신교 축구장,대전광역시 대덕구 신일동 549-1,,N,1,1,0,0,0,0,2,0,0,하천관리사업소,042-270-8431,24시간,2011-07,36.435197,127.399479,2017-01-01
"이동화장실",와동 잔디포(하),대전광역시 대덕구 와동 321-8,,N,1,1,0,0,0,0,2,0,0,하천관리사업소,042-270-8431,24시간,2011-09,36.413274,127.420253,2017-01-01
"이동화장실",와동 잔디포(하),대전광역시 대덕구 와동 425,,N,1,1,0,0,0,0,2,0,0,하천관리사업소,042-270-8431,24시간,1955-01,36.409958,127.418971,2017-01-01
"이동화장실",와동 잔디포(상),대전광역시 대덕구 와동 451,,N,1,1,0,0,0,0,1,0,0,하천관리사업소,042-270-8431,24시간,2007-03,36.408804,127.418224,2017-01-01
"이동화장실",와동 잔디포(상),대전광역시 대덕구 신대동 561,,N,1,1,0,0,0,0,1,0,0,하천관리사업소,042-270-8431,24시간,2007-02,36.406245,127.416799,2017-01-01
"이동화장실",원촌교 상류 경사로 입구,대전광역시 대덕구 대화동 94-6,,N,0,1,0,0,0,0,1,0,0,하천관리사업소,042-270-8431,24시간,2001-01,36.377512,127.410538,2017-01-01
"이동화장실",둔산대교 하부,대전광역시 서구 만년동 522,,N,0,1,1,0,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2012-08,36.371078,127.393056,2017-01-01
"이동화장실",엑스포다리 하부(수목원 앞),대전광역시 서구 만년동 565,,N,0,2,1,0,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2009-05,36.370981,127.388254,2017-01-01
"이동화장실",엑스포다리 상류,대전광역시 서구 만년동 597,,N,0,2,1,0,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2009-07,36.371387,127.384247,2017-01-01
"이동화장실",만년동 KBS 앞,대전광역시 서구 만년동 611,,N,0,2,1,0,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2009-05,36.371414,127.380463,2017-01-01
"이동화장실",만년동 둔천초교 앞,대전광역시 서구 만년동 670,,N,0,0,1,1,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2016-09,36.368417,127.372881,2017-01-01
"이동화장실",월평동 주공1단지@ 앞,대전광역시 서구 만년동 682,,N,0,1,1,0,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2013-04,36.365176,127.368904,2017-01-01
"이동화장실",월평동 다모아@ 앞,대전광역시 서구 월평동 1557,,N,1,1,0,0,0,0,2,0,0,하천관리사업소,042-270-8431,24시간,2004-04,36.362953,127.364745,2017-01-01
"이동화장실",갑천대교 상류,대전광역시 서구 월평동 216,,N,0,1,0,0,0,0,1,0,0,하천관리사업소,042-270-8431,24시간,2002-02,36.357651,127.358399,2017-01-01
"이동화장실",만년대교 하부,대전광역시 서구 월평동 186-7,,N,0,1,0,0,0,0,1,0,0,하천관리사업소,042-270-8431,24시간,2002-02,36.350931,127.350784,2017-01-01
"이동화장실",입의마을 앞,대전광역시 서구 월평동 191-5,,N,0,0,1,1,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2016-07,36.341486,127.353341,2017-01-01
"이동화장실",정림중학교,대전광역시 서구 정림동 290-2,,N,0,1,1,0,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2012-01,36.297134,127.361678,2017-01-01
"이동화장실",모세골교 하류,대전광역시 서구 괴곡동 960-14,,N,1,1,0,0,0,0,2,0,0,하천관리사업소,042-270-8431,24시간,2015-01,36.290252,127.358831,2017-01-01
"이동화장실",흑석동 상보안유원지,대전광역시 서구 흑석동 738-1,,N,1,1,0,0,0,0,2,0,0,하천관리사업소,042-270-8431,24시간,2013-05,36.274491,127.345525,2017-01-01
"이동화장실",흑석동 상보안유원지 낚시터,대전광역시 서구 흑석동 738,,N,0,1,0,0,0,0,1,0,0,하천관리사업소,042-270-8431,24시간,2002-08,36.276905,127.342832,2017-01-01
"이동화장실",흑석동 적십자수련원 앞,대전광역시 서구 흑석동 530-12,,N,0,1,0,0,0,0,1,0,0,하천관리사업소,042-270-8431,24시간,2007-08,36.278407,127.334108,2017-01-01
"이동화장실",흑석동 장평유원지,대전광역시 서구 흑석동 804,,N,0,1,0,0,0,0,1,0,0,하천관리사업소,042-270-8431,24시간,2002-06,36.274186,127.335661,2017-01-01
"이동화장실",흑석동 장평보 옆,대전광역시 서구 흑석동 749,,N,0,1,0,0,0,0,1,0,0,하천관리사업소,042-270-8431,24시간,2007-09,36.271269,127.340288,2017-01-01
"이동화장실",봉곡동 낚시터,대전광역시 서구 용촌동 90-2,,N,0,1,0,0,0,0,1,0,0,하천관리사업소,042-270-8431,24시간,1993-05,36.254554,127.327618,2017-01-01
"이동화장실",봉곡2교 옆,대전광역시 서구 봉곡동 519,,N,0,1,0,0,0,0,1,0,0,하천관리사업소,042-270-8431,24시간,1994-06,36.254488,127.325127,2017-01-01
"이동화장실",신구교 하류 축구장,대전광역시 유성구 봉산동 170-3,,N,0,1,1,0,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2011-01,36.436595,127.391419,2017-01-01
"이동화장실",관평천 합류점 하류,대전광역시 유성구 관평동 7-37,,N,1,1,0,0,0,0,2,0,0,하천관리사업소,042-270-8431,24시간,2011-02,36.431311,127.398349,2017-01-01
"이동화장실",용신교 상류,대전광역시 유성구 용산동 7-2,,N,1,1,0,0,0,0,1,0,0,하천관리사업소,042-270-8431,24시간,2004-06,36.427454,127.403193,2017-01-01
"이동화장실",파크골프장(하),대전광역시 유성구 탑립동 263-2,,N,0,1,0,0,0,0,1,0,0,하천관리사업소,042-270-8431,24시간,2011-08,36.423433,127.409092,2017-01-01
"이동화장실",파크골프장(상),대전광역시 유성구 탑립동 184-5,,N,1,2,1,0,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2011-09,36.417709,127.414809,2017-01-01
"이동화장실",갑천교 하류(고속도로 옆),대전광역시 유성구 전민동 94-1,,N,1,1,0,0,0,0,1,0,0,하천관리사업소,042-270-8431,24시간,2007-04,36.405606,127.412252,2017-01-01
"이동화장실",MBC앞(도룡동 513-1),대전광역시 유성구 원촌동 49-4,,N,0,2,1,0,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2009-06,36.375908,127.399479,2017-01-01
"이동화장실",무역전시관 앞,대전광역시 유성구 도룡동 582,,N,0,1,1,0,0,0,2,0,0,하천관리사업소,042-270-8431,24시간,2006-06,36.374162,127.389729,2017-01-01
"이동화장실",엑스포아트홀 앞,대전광역시 유성구 도룡동 217-2,,N,0,1,1,0,0,0,2,0,0,하천관리사업소,042-270-8431,24시간,2006-07,36.374323,127.381222,2017-01-01
"이동화장실",대전지방기상청 앞,대전광역시 유성구 구성동 51-2,,N,0,1,1,0,0,0,2,0,0,하천관리사업소,042-270-8431,24시간,2005-02,36.370122,127.371546,2017-01-01
"이동화장실",과기원 ~ 기상청사이,대전광역시 유성구 구성동 410-64,,N,1,1,0,0,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2006-05,36.367061,127.366927,2017-01-01
"이동화장실",과학기술원 앞1,대전광역시 유성구 구성동 309-2,,N,1,1,0,0,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2005-07,36.364017,127.361087,2017-01-01
"이동화장실",과학기술원 앞2(창고사용),대전광역시 유성구 구성동 410-65,,N,0,0,0,0,0,0,0,0,0,하천관리사업소,042-270-8431,24시간,2005-05,36.362829,127.359245,2017-01-01
"이동화장실",만년대교 하류,대전광역시 유성구 봉명동 702,,N,0,1,1,0,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2012-06,36.354178,127.350358,2017-01-01
"이동화장실",계룡대교 하류,대전광역시 유성구 봉명동 496-25,,N,0,1,1,1,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2015-08,36.350396,127.348388,2017-01-01
"이동화장실",정림중보 옆,대전광역시 서구 괴곡동 515-5,,N,0,1,0,0,0,0,1,0,0,하천관리사업소,042-270-8431,24시간,2002-08,36.285141,127.356354,2017-01-01
"이동화장실",안구만리(축구장),대전광역시 대덕구 대화동 504-4,,N,1,1,0,0,0,0,1,0,0,하천관리사업소,042-270-8431,24시간,2003-09,36.368364,127.396891,2017-01-01
"이동화장실",체육시설,대전광역시 대덕구 오정동 461-3,,N,0,2,1,0,0,0,0,1,0,하천관리사업소,042-270-8431,24시간,2007-07,36.350125,127.405107,2017-01-01
"이동화장실",충남도시가스 앞,대전광역시 중구 중촌동 198-5,,N,0,0,1,1,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2016-09,36.346524,127.404341,2017-01-01
"이동화장실",중촌근린공원 앞,대전광역시 중구 중촌동 471-15,,N,1,1,0,0,0,0,1,0,0,하천관리사업소,042-270-8431,24시간,2005-07,36.340081,127.403464,2017-01-01
"이동화장실",수침교 상류,대전광역시 중구 태평동 284-2,,N,1,1,0,0,0,0,2,0,0,하천관리사업소,042-270-8431,24시간,2013-07,36.333461,127.397717,2017-01-01
"이동화장실",가장교 하류,대전광역시 중구 태평동 316,,N,1,1,0,0,0,0,2,0,0,하천관리사업소,042-270-8431,24시간,2005-07,36.328376,127.391857,2017-01-01
"이동화장실",삼부(아) 26동 앞,대전광역시 중구 태평동 515-12,,N,1,1,0,0,0,0,2,0,0,하천관리사업소,042-270-8431,24시간,2005-07,36.325161,127.389405,2017-01-01
"이동화장실",동양파라곤(아) 앞,대전광역시 중구 태평동 513-16,,N,1,1,0,0,0,0,2,0,0,하천관리사업소,042-270-8431,24시간,2004-07,36.321489,127.387041,2017-01-01
"이동화장실",유등교 상류,대전광역시 중구 유천동 473,,N,1,1,0,0,0,0,2,0,0,하천관리사업소,042-270-8431,24시간,2005-07,36.314653,127.387271,2017-01-01
"이동화장실",시외버스터미널 앞,대전광역시 중구 산성동 759-1,,N,0,1,1,1,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2015-09,36.312311,127.387645,2017-01-01
"이동화장실",도마교 상류,대전광역시 중구 산성동 200-2,,N,0,1,1,0,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2012-08,36.309953,127.386481,2017-01-01
"이동화장실",호남철교 상류 하부,대전광역시 중구 산성동 356-2,,N,1,1,0,0,0,0,1,0,0,하천관리사업소,042-270-8431,24시간,2002-07,36.308011,127.384729,2017-01-01
"이동화장실",버드내교 상부(한밭가든@위),대전광역시 중구 산성동 347-2천,,N,0,1,1,0,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2012-06,36.304121,127.382091,2017-01-01
"이동화장실",복수교 상류,대전광역시 중구 사정동 465-5,,N,0,1,1,0,0,0,2,0,0,하천관리사업소,042-270-8431,24시간,2011-06,36.298175,127.383558,2017-01-01
"이동화장실",안영교 상류,대전광역시 중구 안영동 617-1,,N,0,1,1,1,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2015-06,36.286211,127.378664,2017-01-01
"이동화장실",평송수련원 앞 입구,대전광역시 서구 둔산동 1746,,N,0,1,0,0,0,0,1,0,0,하천관리사업소,042-270-8431,24시간,2002-05,36.363768,127.394504,2017-01-01
"이동화장실",샘머리(아) 앞,대전광역시 서구 둔산동 1693,,N,0,1,1,0,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2012-07,36.361532,127.396462,2017-01-01
"이동화장실",한밭대교 위(보라@앞),대전광역시 서구 둔산동 2212,,N,0,1,1,0,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2012-06,36.353496,127.401905,2017-01-01
"이동화장실",용문교 상류1,대전광역시 서구 용문동 513-1,,N,0,1,1,0,0,0,1,1,0,하천관리사업소,042-270-8431,24시간,2012-07,36.344384,127.401885,2017-01-01
