"순번","민원제목","민원내용","민원등록일","민원수정일","민원답변일","처리부서","진행상태","민원인주소_법정동"
15,"우리마을길 정비","황등에 20년이더 지난 5층아파트인 진성아파트에 5층에 10년넘게 살고있는데요처음부터 수압은 약했습니다. 얼마전 다른층에 건물에 수압이낮아서 수압펌프를 설치한뒤에는물이 너무 약하게 나오네요.. 밤늦게 펌프소리 소음도 있고..씻을때도 오래걸리고.. 노후수도관 교체에 황등은 없는건가요?아니면 20년넘은 노후수도관 교체지역없이 바꿔주는 사업인가요?수압문제를 해결해야하는데 어떻게 해야할까요?수압펌프를 개인적으로 설치하는 방법은 알지만.. 다른집에 수압이 더 낮아지며, 소음문제가 있어서그건 좀.. 않아고 싶거든요","2016-07-04","2016-07-04","2016-07-13","도로관리과","처리완료","부안읍"
16,"화단 공사 및 영업관련","앱으로 불법광고물 신고를 7일날 했는데 아직도 처리중으로 떠있네요  그앱이 혹시 익산시청해당부서 와 연결되지않은건가요??? 플랑카드가  차 다닐때 펄럭거려서 7일날 신고했는데 아직까지 안띄어져있네요!!익산시청에서는 앱 처리부서가 없는건가요????","2017-10-31","2017-10-31","2017-11-03","도로공원과","처리완료","보안면"
17,"골목길에 휀스 설치 불편","전라북도 부안군 변산면 격포리 794격포항등대 난간대 파손 추락위험","2018-09-05",,"2018-09-13","건설교통과","처리완료","가리내로"
18,"39번 시내버스 운전상태","아침마다 버스로 출퇴근하는 사람입니다.요즈음같은 날씨엔 안전운전이 필수인데요특히 시민의 안전을 책임지는 버스야말로 더더욱 신경을 써야한다고 생각합니다.그런데 오늘 아침 39번 버스(번호판 1264)는운행상태가 아주 위협적이더군요눈이와서 도로상태가 안좋은 상태인데도 운전이 좀 거칠길래영 기분이 좋진않은 상태로 목적지에 가기위해 탑승해있는 상태였는데운행도중 어떤차와 작은 시비가 있었습니다.그 운전자의 실수로 사고위험이 있었으나 다행이 사고는 나지 않은상태였습니다.그런데 버스운전자가 그차를 막 뒤따라 가면서 경적을 계속 울려대고신호대기로 정차했을때는 그차 옆에 대고 막 언성을 높여대더군요뒤에 승객들도 타고있는데....허나 그 후가 더 가관이었습니다.버스운전자는 화가 안풀렸는지 계속 거친 운전솜씨를 폼내더군요정류장 정차할때마다 급정거에 급출발에...운행중엔 혼자 성질내고...목적지에 다와서 저는 내렸습니다만정류장을 떠나는 버스를 다시한번보면서 참 많은 생각이 들더군요.버스는 개인차량이 아닙니다.버스기사 한분의 실수로 죄없는 많은 승객들이 다칠수있다는것을좀 유념하고 운행하셨으면 하는 바램입니다.","2018-01-10","2018-01-10","2018-01-12","교통행정과","처리완료","백산면"
19,"방역 방충","추운 날씨에 수고 많습니다다름이 아니라 배산체육공원에서 현영동 가는 고가도로 밑 주정차 차량때문에 글을 올립니다물론 생계를 위해 고생하시는 화물트럭 운전자 분들은 이해하지만원대쪽에서 모현동쪽으로 내려오는 차량수가 적지않습니다그런데 주정차되어잇는 대형 화물차 때문에 현영동으로 직진하는 차는원대쪽에서 모현동으로 내려오는 차가 잘보이질 않습니다특히 신호가 점멸되잇는 새벽시간에는 더욱더 그렇구요사전에 위험요소를 방지하여야 생각되기에 몇자 적어 올립니다수고하세요","2017-10-02","2017-10-02","2017-10-13","도로공원과","처리완료","진서면"
20,"철도송학건널목 도로 포장이라도 좀 해주세요","대학로 빽다방 근처에서 커피를 사가던도중 우회전을 하려던중에 불법주정차 때문에 지나가지 못하고 돌아갔네요 생각없이 주차를 하여서 다른사람들 까지 피해를 보니깐 신고 합니다.","2018-09-21","2018-09-21","2018-09-28","도로공원과","처리완료","부안읍"
21,"(SPP-1807-2500554)하수구 멘홀뚜껑이 노후화되어서 주민들이 운동다니는데 많","전라북도 부안군 부안읍 동중리 122-9가로등 전선 노출 위험*  *(1/4) G: 2018/07/14 07:44:21(2/4) G: 2018/07/14 07:42:27(3/4) G: 2018/07/14 07:42:20(4/4) G: 2018/07/14 07:41:31G:  *","2018-07-25",,"2018-07-30","계화면","처리완료","부안읍"
22,"(SPP-1711-3000203)알림선 파손 및 지워짐 처리부탁드려요 * 첨부파일촬영","<장애인 전용주차구역 불법주차> 불법주차 [  : 새만금홍보관 주차장 ] http://www.gmap.go.kr/portalap/lur/downloadFile.do?dscfNtNo=0000003290208  ※  : 2017.10.03 14:19:14(앨범에서 첨부)[ (02-2195-1129~30)]","2017-11-30",,"2017-12-01","건설교통과","처리완료","줄포면"
23,"(SPP-1703-2300119)나무가 쓰러질것 같아요.",": 전라북도 부안군 변산면 격포리 506미점등 상태이며 위치를 현재위치에서 왼쪽으로 90도 정도만 틀어주시기를 부탁드립니다.[처리요청기관]:부안군","2017-03-23",,"2017-04-04","부안읍","처리완료","부안읍"
24,"지금 모두가 익산시를 주시하고 있습니다","불법주차 관련하여 글을 씁니다.익산 마동 선화1로 도로가 양방향의 불법주차 관련입니다.(전북대오거리 &harr; 삼성주유소 사거리 양방향)낮에는 홍익이란 간판회사의 직원들 차량주차로 양방향 2차로에 불법주차를 하고밤에는 화물차,버스등 대형차량들이 양방향으로 불법주차를 하고 있는데양방향으로 2차로 운행시 불법주차로 1차로 진입시 사고유발이 되고 있습니다.낮이고 밤이고 이들 불법주차로 사고위험이 빈번하게 노출되고 있습니다. 낮,밤 가리지 말고 불법주차 단속하였으면 합니다.","2016-10-08","2016-10-08","2016-10-12","축산과","처리완료","부안읍"
25,"[생활불편신고]불법 주차","전라북도 부안군 부안읍 선은리 55가로등점멸*  *(1/1) C: 2017/11/15 23:27:02G:*","2017-11-19",,"2017-11-29","건설교통과","처리완료","부안읍"
26,"익산유기견보호소","익산시 보호소 입양공고 사진을 보고 반려견을 키우는 사람으로서 경악을 감출수가 없습니다.누가봐도 학대사진으로 밖에 보여지지않습니다.이사진을 보고 잃어버린 가족을 찾겠다고 입양공고 사진을 보는 가족들은 얼마나 끔찍하겠습니까?동물도 생명입니다.살아숨쉬는 생명입니다.생명을 함부로 할 권리는 어느누구에게도 없습니다.유기되고 잃어버리고 말 못하는 동물들일지라도 존중해주십시요.제발 부탁드립니다.입양공고사진 제대로 올려주세요.","2016-11-09","2016-11-09","2016-11-10","축산과","처리완료","부안읍"
27,"전북 익산 유기동물보호소 유기동물학대","전북 익산 유기 동물 보호소에서 유기된 동물들을 쇠파이프로 폭행하고 살가죽을 쥐어뜯으며 구멍이 큰 철창에 아주 작은 강아지를 넣어 옴짝달싹 못하게 하는 등 학대를 자행하고 있습니다. 학대를 자행하는 남성 직원을 모두 해고하고 유기 동물을 정말로 보호하고 주인 품으로 돌려보낼, 새 주인을 찾아줄 진심어린 여성 직원분들을 고용해주세요.수당을 받기 위해 될 수 있는 한 아이들을 많이 잡아다가 학대해서 죽인 후 자연사라고 거짓으로 보고한다고 합니다.  그 사회의 수준을 보려면 동물과 약자를 대하는 태도를 보라고 하는데요. 자신보다 약한 생명을 학대하고 죽이면서도 일말의 죄책감도 없는 저들이 살인자와 다를 것이 무엇입니까? 조치를 강하게 취해주세요 저들을 해고해주세요 벌금형이나 단순 경고로는 절대로 해결되지 않는 문제입니다 해고해서 아예 유기견보호소 일을 하지 못하게 해주세요","2016-11-09","2016-11-09","2016-11-10","축산과","처리완료","백산면"
28,"(SPP-1612-1300103)골목길에 쇼파가 잇습니다.누가 안쓰는것같습니다","신고번호 1AA-1610-187627수고하십니다.본 첨부화일 용량부족으로 추가드리오니 참고하셔요늘 건강하시고 행복하셔요","2016-12-13",,"2016-12-16","부안읍","처리완료","보안면"
29,"고양이밥주는행위","어양동 동서로63길 익산 로컬푸드 직매장 앞 함지박 근처인도에 불법으로 설치된 불법광고물을옥외광고물 법으로 신고합니다.","2016-02-28","2016-02-28",,,"처리완료","부안읍"
30,"시내버스 관련 문의","사람이.미개해도 어찌.이리.미개할수가 있는가 개가.살아있을.당시 주인이 마을회관에 갔더니 모른다고 없다고 잡아때고 그후에 잡아먹어?인간이기를 포기했네 익산시.축산과 이번일 잠재우려고 대충 수습하려다가 큰일.치룹니다 죄값 받게.축산과도 제대로 일하세요 제친구도 다른지방.축산과에서 일하는데 강아지 학대 또는 이렇게 잡아먹일거 같아서 전화로 신고하는.사람이.많고 이렇게 민원 들어오면 시청에서 전후사실.관계 확인을 위해 시청 축산과.직원이 조사나갑니다 그후에 민원인에게 결과.통보해주구요  이사건도 여초남초 할거 ,"2016-07-26","2016-07-26","2016-07-26","교통행정과","처리완료","행안면"
31,"시외버스터미널","전라북도 익산시 선화로3길 31-13 금송빌딩 1층  앞에 오후쯤 되면 신호등 앞에서 장사하는 노점상 때문에 우회전 하는데 상당히 불안 불안 합니다단속해 주시기 바랍니다 자주 가는 곳인데 노점상 때문에 너무 불쾌 하였습니다","2016-05-12","2016-05-12","2016-05-13","교통행정과","처리완료","하서면"
32,"(SPP-1803-0300190)신호등이 고장나서 초록불이 몇초남았는지 모르겠어요 *","전라북도 부안군 상서면 가오리 1037승강장 옆 가로등이 안들어옵니다.밤에 위험하니 고쳐주세요*  *(1/1) C: 2018/02/28 18:21:51G:  *","2018-03-03",,"2018-03-05","건설교통과","처리완료","부안읍"
33,"불법간판신고","다른 지역의 도시는 환경보호와 교통체증을 해결로 자동차 요일제를 시행하고 있습니다. 자동차 요일제에 등록한 차량은  자동차세 감면과 공용주차장 할인등 여러가지 혜택을 주면서 시행하고 있는데 익산시는 그런 좋은 제도를 왜 도입하지 않는지 궁금하네요. 빨리 도입해서 원하는 시민들에게 많은 혜택을 주셨으면 합니다.자동차 공해도 방지하고 신청한 시민은 여러가지 혜택도 받고 좋은 제도 인데 이런 제도를 생각도 안하고 있다는 자체가 너무 합니다","2016-03-18","2016-03-18","2016-03-25","도로관리과","처리완료","부안읍"
34,"(안전보안관)(SPP-1806-2500415)횡단보도 불법 주정차 처벌해주세요 * 첨부파일촬영시간","전라북도 부안군 부안읍 동중리 131-4횡단보도 불법 주정차 처벌해주세요*  *(1/2) C: 2018/06/25 16:24:56(2/2) C: 2018/06/25 16:25:23G:  *","2018-06-25",,"2018-07-03","건설교통과","처리완료","금산면"
35,"(SPP-1804-2200098)어린이 놀이터 계단 망실 * 첨부파일촬영시간 안내(안","전라북도 부안군 부안읍 봉덕리 621-4인도위 물건들 치우게 해주세요*  *(1/1) G: 2018/03/13 20:06:31G:  *","2018-04-22",,"2018-04-24","새만금국제협력과","처리완료","부안읍"
36,"(SPP-1711-1600102)가로등불꺼짐 * 첨부파일촬영시간 안내(안전신문고 운영","전라북도 부안군 부안읍 선은리 403-1가로등점멸*  *(1/1) C: 2017/11/15 23:08:44G:*","2017-11-16",,"2017-11-24","부안읍","처리완료","부안읍"
37,"CCTV 설치해주세요","시의 발전에 수고하시는 시장님께 감사 드립니다. 군산의 3대 큰 행사는 1.군산야행 2.군산시간여행축제 3.진포예술제로 알고 있습니다.군산야행은 군산 역사문화재를 기반으로하는 행사, 시간여행축제는 군산 역사시간을 바탕으로하는 행사, 군산진포예술제는 군산 문화예술인들이 주체가 되어 시민(관광객 포함)을 위한 행사로 알고 있습니다.   실제로 줄을 잘 서라고 하는것 같은데 이렇게 해 가지고는 발전이 없어 제안 드립니다. 술접대는 되고 이런것은 안되는지 궁금 합니다.군산 시민 모두가 공정하고 공평하게 대접 받는 시의 행정을 구현해 주시기 바랍니다.시장님 화이팅 !       (저는 정치인이 아님니다 그리고 어떤 선거에도 출마한 적이 없습니다. 다만 시민으로서 활발한 활동에 많은 제약을 받아 글을 올리는것 입니다.) ","2018-09-27","2018-09-27",,,"처리중","부안읍"
38,"가로등 교체 (led등으로)","1. 본인 청구인 이영애는 2018년 2월 27일 부안군청에 유한회사 씨앤푸드에 대한 정보공개 청구를 한바 있읍니다.2. 다음날 2월 28일 답변 내용에 행정관청에 설립신고를 하지 않아 정보 부존재 통보만을 받은바 있읍니다. 3. 농업회사 법인으로 설립등기에 유한회사 씨엔푸드가 부동산 임대업이 사업종목에 들어있는데 국가적, 사회적 물의를 일으키는 부동산 임대,매매업이 적법한지?처분은 가능한지?4. 유한회사 씨엔푸드 구성인중 농업인이 되어 있는지 구체적 위법사안을 행정관리 처리 진행사항을 알고 싶습니다.5. 유한회사 씨엔푸드 부적격 농업회사 법인으로 신고 하오니 민원처리 해주시면 감사하겠읍니다","2018-03-30",,"2018-04-09","동진면","처리완료","부안읍"
39,"상공회의소사거리 신호표지판 문의","어양동 동서로63길 익산 로컬푸드 직매장 근처 어양주민센터 방면인도에 불법으로 설치된 불법광고물을  옥외광고물 법으로 신고합니다.","2016-01-06","2016-01-07","2016-01-07","교통행정과","처리완료","줄포면"
40,"범죄 예방을 위한 골목길 CCTV 설치요청","불철주야로 시민을 위해 애쓰시는 시관계자님께 감사드립니다. 저는 자전거를 즐겨 타는 익산 시민입니다. 영등중학교 앞길에서부터 미륵산 공수부대까지 자전거길 겸 농로가 시멘트 도로인데 노후되어 자전거 라이딩을 즐기기엔 너무 불편합니다. 바가 조금만 와도 물이 고여있고요~~, 처음 일부구간은 아스팔트로 되어 있습니다만 나머지는 모두 시멘트길로 노후되어서 너무나 터덜거립니다.  많은 자전거 라이더들은 이 자전거 도로가 있음에도 불구하고 영등중에서 미륵산 자전거길을 가지 않고, 위험을 무릅쓰고 삼기공단까지 일반 도로를 이용하여 라이딩을 하고 있습니다. 익산에 유일한 미륵산 자전거길을 아스팔트길로 정비하여 주시길 간절히 부탁드립니다.  많은 예산이 소요되리라고 생각합니다. 일부 시의원님들께서도 많이 노력하고 있다고 들었습니다. 자전거 길을 잘 정비하는 것이 익산시민의 건강과 자전거를 즐기는 시민을 늘리는 계기가 되리라 생각합니다. 꼭 아스팔트로 해주세요~~!! 즐거운 추석되세요!!!","2016-09-11","2016-09-11","2016-09-20","시민안전과","처리완료","부안읍"
41,"도시 미관 해치는 불법광고물 1,","어양동 이편한세상에 살고 있는 주민 입니다.여름철로 접어들어 야간취침시 더위로 아파트창문을 열어야 될 실정입니다. 문제는 어양동 1공단에 입주된 업체중 석재가공업 업체인세진산업의 야간시간 계속되는 밤샘작업으로 들려오는 규칙적인 공장작업소음(지게차소리 및 기계가동소리)로 계속 잠을 설치고 있습니다.도로측 앞창문을 열면 밤새작업하는 규칙적인 소리로 스트레스가 심하며,아파트 단지쪽 창문을 열어도 아파트단지에메아리쳐 들리는 소음으로 시끄럽습니다.요청사항은 세진산업의 야간 공장 작업소음을 없애주십시요공장지붕 및 벽을 보강하여 소음을 차단다던지, 작업을 중단토록 요청합니다. 첨부: 2016년 6월 12일 새벽3시 작업모습 (차량통행이 없는데도 소음이큼) ","2016-02-11","2016-02-11","2016-02-17","도로관리과","처리완료","주산면"
42,"(SPP-1703-2800745)부안예술회관 가로등 꺼짐","전라북도 부안군 부안읍 서외리 7-11중앙분리대 떨어짐","2017-03-28",,"2017-04-05","문화체육시설사업소","처리완료","부안읍"
43,"식품 클러스터  반대합니다","할랄단지반대 다음아고라 청원 서명 페이지입니다혹은 다음아고라 청원에 할랄치시면 나옵니다. 들어가서 서명해주세요!! [아고라]전북 익산시 이슬람 할라식품공장 반대합니다.http://m.bbs3.agora.media.daum.net/gaia/do/mobile/petition/read?articleStatus=S&cPageIndex=1&bbsId=P001&cSortKey=depth&articleId=180950","2016-01-07","2016-01-07","2016-01-07","식품클러스터지원과","처리완료","부안읍"
44,"장연마을 강력한 처벌 원합니다","악산 장연마을에서 벌어진 끔찍한 사건에 대해서는 이미 게시판이 뜨거운 것으로 보아 진작에 아셨을 것이라 생각하고 저도 앞서 많은 분들의 의견에 목소리를 합치고자 합니다.지쳐있는 개를 몽둥이로 후드려 팬 것부터가 이미 동물학대인데 경찰관까지 대동하여 몇 시간동안 찾아 헤맨 것을 뻔히 알면서 모르는 척 시치미에 주인이 돌아간 뒤 잡아먹었다니요 인간으로서 할 행동이 맞는지 의심을 거둘 수가 없습니다. 더군다나 익산에는 동물관련학과가 있는 대학이 원광대와 전북대 익산캠퍼스(수의학과)로 두 군데나 있으며 동물등록제 등 동물보호에 관한 일들을 꾸준히 해오셨던것으로 알고 있는데 이와 같은 사건에 대해 묵과하고 넘어가는 것은 익산이라는 지역 자체에 대한 이미지를 실추시키는 일이라고 생각합니다.부디 이 사건의 가해자들에 대해 엄중한 처벌을 내려주시길 바랍니다.","2016-10-02","2016-10-02","2016-10-06","축산과","처리완료","부안읍"
45,"익산시 버스노선 변경 요청","2018년 8월17일 밤 10시22분막차111번버스를 타려고기다렸는데아예안와가지고 1시간넘게기다리다가어쩔수없이 택시타고 집에왔습니다. 삼례터미널에서 익산으로건너와야하는데, 택시비도2만원넘게나왔네요.... 저포함4명이기다리고있었습니다.버스회사에 전화를해보니 익산여객 버스랍니다. 버스가안오는바람에 지불하게된 교통비 처리해주시기바랍니다.앞으로는이런일이없기도바라구요. 막차를빼먹으면안되지않겠습니까..","2018-08-14","2018-08-14","2018-08-20","교통행정과","처리완료","부안읍"
46,"[생활불편신고]불법 주차","<불법주정차> 입구 불법주차[  : 상원아파트 입구 ] (1/2) I : 2018.03.25 01:30:11 (2/2) I : 2018.03.25 04:02:26 A :  : I :  .[  : 1522-0660 ()]","2018-03-25",,"2018-04-03","건설교통과","처리완료","백산면"
47,"(안전보안관)(SPP-1805-1100522)표지판이 기울어져있음 * 첨부파일촬영시간 안내(안전신","경쟁입찰로 주택관리업자 선정 지도 요청*스캔 참고","2018-05-11",,"2018-05-14","건설교통과","처리완료","동산동"
48,"전주시청 앱(APP)을 설치하여 빠른 미디어 시대를 연다","공원 게시판에 드론 가능여부 안내","2016-02-12",,,"기획예산과","처리완료","부안읍"
